
=== 期末TB(12-11) ===
('帳票名', '残高試算表(月次・期間)', None, None, None, None, None, None, None)
('書式名', '汎用形式', None, None, None, None, None, None, None)
('事業所名', '株式会社ＤＯＯＲＤＯ', None, None, None, None, None, None, None)
('処理日時', 46092, datetime.time(11, 31, 15), None, None, None, None, None, None)
('月次/期間', '期間', None, None, None, None, None, None, None)
('集計期間', 45627, 45991, '決算仕訳を含む', None, None, None, None, None)
('税抜/税込', '税抜', None, None, None, None, None, None, None)
('[表題行]', '部門', '分類', '勘定科目', '前期繰越', '期間借方', '期間貸方', '当期残高', '構成比(対売上比)(%)')
('[区分行]', '事業所(合計)', '[貸借対照表]', '[現金･預金]', None, None, None, None, None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '現金', 2836539, 78624359, 77395502, 4065396, 0.01)
('[明細行]', '事業所(合計)', '[貸借対照表]', '普通預金', 3946680878, 70203842933, 69990010411, 4160513400, 11.33)
('[明細行]', '事業所(合計)', '[貸借対照表]', '定期預金', 376927679, 113495664, 224341665, 266081678, 0.72)
('[明細行]', '事業所(合計)', '[貸借対照表]', '定期積金', 98003794, 57368213, 39313440, 116058567, 0.32)
('[明細行]', '事業所(合計)', '[貸借対照表]', '返済準備金留保口座', 28603986, 18981, 20000770, 8622197, 0.02)
('[合計行]', '事業所(合計)', '[貸借対照表]', '現金･預金合計', 4453052876, 70453350150, 70351061788, 4555341238, 12.4)
('[区分行]', '事業所(合計)', '[貸借対照表]', '[売上債権]', None, None, None, None, None)
('[合計行]', '事業所(合計)', '[貸借対照表]', '売上債権合計', 0, 0, 0, 0, 0)
('[区分行]', '事業所(合計)', '[貸借対照表]', '[有価証券]', None, None, None, None, None)
('[合計行]', '事業所(合計)', '[貸借対照表]', '有価証券合計', 0, 0, 0, 0, 0)
('[区分行]', '事業所(合計)', '[貸借対照表]', '[棚卸資産]', None, None, None, None, None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '販売用不動産', 3225163692, 9636390100, 12696726610, 164827182, 0.45)
('[明細行]', '事業所(合計)', '[貸借対照表]', '販売用不動産(収益)', 0, 9004218539, 205146536, 8799072003, 23.96)
('[明細行]', '事業所(合計)', '[貸借対照表]', '仕掛販売用不動産', 10840974447, 16720211331, 9014323458, 18546862320, 50.5)
('[明細行]', '事業所(合計)', '[貸借対照表]', '未成工事支出金', 77287825, 2282207376, 2258204255, 101290946, 0.28)
('[合計行]', '事業所(合計)', '[貸借対照表]', '棚卸資産合計', 14143425964, 37643027346, 24174400859, 27612052451, 75.18)
('[区分行]', '事業所(合計)', '[貸借対照表]', '[他流動資産]', None, None, None, None, None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '短期貸付金', 307700000, 2280520000, 2418220000, 170000000, 0.46)
('[明細行]', '事業所(合計)', '[貸借対照表]', '仮払金', 0, 25686815, 25686815, 0, 0)
('[明細行]', '事業所(合計)', '[貸借対照表]', '前渡金', 407440900, 1127701536, 1334420936, 200721500, 0.55)
('[明細行]', '事業所(合計)', '[貸借対照表]', '前払費用', 139240370, 28272511, 32481044, 135031837, 0.37)

=== 期末TB(12) ===
('帳票名', '残高試算表(月次・期間)', None, None, None, None, None, None, None, None, None, None)
('書式名', '汎用形式', None, None, None, None, None, None, None, None, None, None)
('事業所名', '株式会社ＤＯＯＲＤＯ', None, None, None, None, None, None, None, None, None, None)
('処理日時', 46092, datetime.time(11, 40, 52), None, None, None, None, None, None, None, None, None)
('月次/期間', '期間', None, None, None, None, None, None, None, None, None, None)
('集計期間', 45992, 46022, '決算仕訳を含む', None, None, None, None, None, None, None, None)
('税抜/税込', '税抜', None, None, None, None, None, None, None, '監査人加工', None, None)
('[表題行]', '部門', '分類', '勘定科目', '前期繰越', '期間借方', '期間貸方', '当期残高', '構成比(対売上比)(%)', '前期末残高', '差額', 'コメント')
('[区分行]', '事業所(合計)', '[貸借対照表]', '[現金･預金]', None, None, None, None, None, None, None, None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '現金', 4065396, 5685000, 6955447, 2794949, 0.01, "=_xlfn.XLOOKUP(D10,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J10-E10', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '普通預金', 4160513400, 5540320218, 6054024756, 3646808862, 9.01, "=_xlfn.XLOOKUP(D11,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J11-E11', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '定期預金', 266081678, 210032820, 0, 476114498, 1.18, "=_xlfn.XLOOKUP(D12,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J12-E12', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '定期積金', 116058567, 4500365, 18000000, 102558932, 0.25, "=_xlfn.XLOOKUP(D13,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J13-E13', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '返済準備金留保口座', 8622197, 0, 0, 8622197, 0.02, "=_xlfn.XLOOKUP(D14,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J14-E14', None)
('[合計行]', '事業所(合計)', '[貸借対照表]', '現金･預金合計', 4555341238, 5760538403, 6078980203, 4236899438, 10.47, "=_xlfn.XLOOKUP(D15,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J15-E15', None)
('[区分行]', '事業所(合計)', '[貸借対照表]', '[売上債権]', None, None, None, None, None, "=_xlfn.XLOOKUP(D16,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J16-E16', None)
('[合計行]', '事業所(合計)', '[貸借対照表]', '売上債権合計', 0, 0, 0, 0, 0, "=_xlfn.XLOOKUP(D17,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J17-E17', None)
('[区分行]', '事業所(合計)', '[貸借対照表]', '[有価証券]', None, None, None, None, None, "=_xlfn.XLOOKUP(D18,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J18-E18', None)
('[合計行]', '事業所(合計)', '[貸借対照表]', '有価証券合計', 0, 0, 0, 0, 0, "=_xlfn.XLOOKUP(D19,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J19-E19', None)
('[区分行]', '事業所(合計)', '[貸借対照表]', '[棚卸資産]', None, None, None, None, None, "=_xlfn.XLOOKUP(D20,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J20-E20', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '販売用不動産', 164827182, 0, 0, 164827182, 0.41, "=_xlfn.XLOOKUP(D21,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J21-E21', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '仕掛販売用不動産', 18546862320, 1639444835, 611336318, 19574970837, 48.38, "=_xlfn.XLOOKUP(D22,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J22-E22', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '未成工事支出金', 101290946, 178067633, 138427399, 140931180, 0.35, "=_xlfn.XLOOKUP(D23,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J23-E23', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '販売用不動産(収益)', 8799072003, 1037252199, 11864270, 9824459932, 24.28, "=_xlfn.XLOOKUP(D24,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J24-E24', None)
('[合計行]', '事業所(合計)', '[貸借対照表]', '棚卸資産合計', 27612052451, 2854764667, 761627987, 29705189131, 73.42, "=_xlfn.XLOOKUP(D25,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J25-E25', None)
('[区分行]', '事業所(合計)', '[貸借対照表]', '[他流動資産]', None, None, None, None, None, "=_xlfn.XLOOKUP(D26,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J26-E26', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '短期貸付金', 170000000, 1739700000, 0, 1909700000, 4.72, "=_xlfn.XLOOKUP(D27,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J27-E27', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '前渡金', 200721500, 1600000, 72198000, 130123500, 0.32, "=_xlfn.XLOOKUP(D28,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J28-E28', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '前払費用', 135031837, 7587401, 14428069, 128191169, 0.32, "=_xlfn.XLOOKUP(D29,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J29-E29', None)
('[明細行]', '事業所(合計)', '[貸借対照表]', '立替金', 199227, 421000, 445800, 174427, 0, "=_xlfn.XLOOKUP(D30,'期末TB(12-11)'!$D:$D,'期末TB(12-11)'!$H:$H)", '=J30-E30', None)
